customer_id,ref_date,is_new,days_relationship,score_band,recency_days,freq_90d,monetary_90d,weekend_ratio,spend_std_90d,app_interactions_30d,engagement_rate,multimodal_90d,plan_active,plan_price,reactivations_12m,inadimplencia,churn_90d,convert_30d,ltv_12m
27,2024-08-15,0,560,650-700,160,30,1549.8,0.371,126.26,2,0.107,1,1,79,0,0,1,0,4957.52
28,2024-04-28,1,28,650-700,4,1,127.76,0.147,156.16,3,3.0,0,0,0,0,0,1,0,475.89
29,2025-04-06,0,1044,600-650,108,28,1095.55,0.239,145.92,1,0.029,2,0,0,0,0,1,0,2314.35
30,2025-03-05,0,785,700-800,104,24,902.64,0.387,58.78,4,0.153,2,1,129,0,0,0,0,3953.57
31,2024-05-30,0,298,700-800,108,34,743.35,0.277,139.23,4,0.403,2,0,0,0,0,0,1,1818.47
32,2025-03-31,0,425,800+,1,21,1335.92,0.456,208.62,1,0.071,1,1,79,0,0,0,0,5653.94
33,2024-11-05,0,734,700-800,130,35,1099.03,0.411,69.62,1,0.041,4,0,0,1,1,0,0,2579.59
34,2025-12-29,0,1124,800+,86,18,1994.28,0.196,70.27,4,0.107,3,0,0,1,0,0,0,6191.05
35,2024-05-23,0,688,600-650,96,27,1275.04,0.468,87.06,4,0.174,6,0,0,0,0,0,0,3041.66
36,2024-12-11,0,1130,650-700,96,29,1327.62,0.216,182.57,3,0.08,1,0,0,0,0,0,0,3442.93
37,2024-11-02,0,954,650-700,55,33,903.37,0.362,203.43,1,0.031,2,1,49,1,1,1,0,2594.35
38,2025-12-02,0,1371,700-800,116,26,1178.88,0.32,203.18,1,0.022,2,1,49,0,0,0,0,3857.57
39,2025-03-20,1,66,700-800,17,4,198.59,0.258,35.29,0,0.0,1,0,0,0,0,0,0,596.1
40,2025-11-26,0,778,<600,103,26,1445.57,0.208,76.14,2,0.077,3,1,79,0,0,0,0,3822.32
41,2024-12-14,0,251,600-650,78,21,789.95,0.286,179.35,3,0.359,2,0,0,0,0,0,0,1561.49
42,2024-03-07,1,25,600-650,28,1,136.12,0.237,87.56,1,1.0,0,0,0,0,0,0,0,318.57
43,2025-01-16,0,480,<600,152,19,1259.19,0.257,171.79,0,0.0,3,0,0,0,0,1,0,2259.61
44,2025-08-07,1,9,600-650,8,3,117.8,0.248,162.51,1,1.0,0,0,0,0,1,1,0,276.0
45,2024-12-07,0,308,650-700,206,27,1202.36,0.1,56.54,2,0.195,3,1,99,0,0,0,0,4370.09
46,2025-08-13,0,111,650-700,34,26,1146.88,0.197,240.11,3,0.811,2,1,99,1,0,1,0,4238.1
47,2025-09-09,0,1219,600-650,139,24,972.32,0.528,0.0,0,0.0,4,0,0,1,0,0,0,2353.53
48,2024-08-16,0,311,700-800,94,27,1161.75,0.224,105.5,6,0.579,4,1,79,1,1,0,0,3578.15
49,2025-08-08,0,96,<600,208,30,1616.83,0.498,118.91,2,0.625,2,1,79,1,0,0,0,4094.37
50,2025-12-11,1,72,600-650,23,1,152.58,0.462,27.38,2,0.833,0,1,49,0,0,0,0,739.81
51,2024-08-27,0,1072,700-800,145,21,1037.21,0.4,128.07,2,0.056,4,0,0,0,0,0,0,3011.18
52,2024-10-31,0,1306,650-700,157,22,205.99,0.28,127.98,3,0.069,0,0,0,1,0,0,0,706.72
53,2025-08-17,0,1209,700-800,65,22,1679.96,0.383,109.3,4,0.099,2,0,0,1,0,0,0,4736.36
54,2024-03-18,0,1419,<600,70,19,831.66,0.311,119.82,2,0.042,1,0,0,0,0,0,0,1631.13
55,2024-09-07,0,1296,800+,25,28,599.29,0.132,164.55,1,0.023,4,0,0,0,0,0,0,1877.02
56,2024-09-26,0,929,650-700,28,21,1480.28,0.458,290.52,1,0.032,5,0,0,0,1,1,0,3203.07
57,2025-04-21,1,60,700-800,10,2,191.57,0.269,148.14,1,0.5,3,0,0,0,0,1,0,535.07
58,2025-10-04,0,479,650-700,76,22,1291.21,0.292,96.14,3,0.188,1,1,129,1,0,0,0,4961.23
59,2024-08-23,1,11,700-800,6,8,261.02,0.242,231.25,1,1.0,0,1,49,0,0,0,0,1486.31
60,2024-03-27,0,133,<600,191,25,860.94,0.044,139.53,4,0.902,4,1,79,0,0,0,0,2095.62
61,2025-02-14,0,710,600-650,21,28,1064.26,0.238,103.4,1,0.042,4,1,49,0,0,0,0,3318.6
62,2025-04-03,0,1126,800+,174,30,971.5,0.203,177.87,2,0.053,4,1,79,1,0,0,0,3671.34
63,2024-11-30,0,1103,<600,99,29,1580.02,0.237,0.0,2,0.054,5,0,0,0,0,1,0,3245.64
64,2025-06-10,0,994,700-800,208,22,1663.29,0.423,84.85,3,0.091,2,0,0,0,0,1,0,4638.65
65,2025-07-08,0,164,650-700,38,34,1596.24,0.315,125.76,2,0.366,4,0,0,0,0,0,0,4263.03
66,2025-02-28,0,254,650-700,119,20,1362.65,0.432,127.33,3,0.354,4,1,79,0,1,0,0,3223.66
67,2025-06-29,0,536,600-650,183,17,734.46,0.265,73.39,1,0.056,4,1,49,1,0,0,0,2227.31
68,2024-11-04,0,1142,650-700,96,24,810.8,0.071,77.47,2,0.053,4,0,0,0,0,0,1,2104.59
69,2024-04-06,1,68,800+,17,3,144.31,0.324,64.52,3,1.324,0,0,0,0,0,0,1,570.07
70,2024-04-09,0,1429,650-700,44,24,1328.18,0.241,0.0,0,0.0,2,1,99,1,0,0,1,4957.67
71,2024-04-25,0,1418,600-650,165,25,925.6,0.0,0.0,3,0.063,4,0,0,0,0,0,0,2043.97
72,2024-07-22,0,352,700-800,14,26,1370.39,0.193,40.04,1,0.085,4,0,0,0,0,0,0,4406.38
73,2024-12-02,1,20,600-650,18,5,212.55,0.605,132.98,1,1.0,1,0,0,0,0,1,0,570.83
74,2025-04-26,0,940,650-700,184,39,933.3,0.0,135.17,2,0.064,3,1,129,0,0,0,0,3881.67
75,2024-04-11,0,903,700-800,82,32,524.97,0.229,55.72,2,0.066,3,1,49,0,0,0,0,2257.53
76,2025-01-29,1,37,650-700,18,2,139.7,0.453,156.91,2,1.622,0,0,0,0,0,0,0,346.15
77,2024-06-26,1,51,<600,10,2,184.17,0.437,163.66,1,0.588,0,0,0,0,0,0,0,349.72
78,2024-08-16,1,18,700-800,18,1,231.92,0.372,170.27,5,5.0,0,0,0,0,0,0,0,627.57
79,2025-10-05,0,534,800+,170,28,1365.62,0.1,111.56,2,0.112,2,0,0,1,0,0,0,4077.28
80,2024-09-16,0,255,700-800,101,36,1755.74,0.032,172.02,5,0.588,4,0,0,0,0,0,1,4876.44
81,2025-10-20,0,896,800+,189,30,934.47,0.326,99.35,5,0.167,1,0,0,0,0,0,0,2599.02
82,2025-05-06,1,77,650-700,21,3,154.97,0.31,181.79,2,0.779,1,0,0,0,0,0,0,281.97
83,2024-01-06,0,496,600-650,2,28,870.56,0.462,123.39,1,0.06,4,1,129,0,0,1,0,3531.49
84,2025-11-29,0,504,650-700,154,27,1243.71,0.464,181.51,1,0.06,3,1,79,0,0,0,0,4222.1
85,2025-06-13,1,4,700-800,28,2,178.11,0.237,115.23,2,2.0,1,1,79,0,0,0,0,1417.91
86,2024-02-17,0,994,800+,73,22,1382.15,0.415,148.96,2,0.06,1,1,49,0,0,0,1,4863.4
87,2025-04-07,0,115,600-650,110,29,773.88,0.554,122.25,4,1.043,2,0,0,1,0,0,0,1599.89
88,2025-03-20,0,420,700-800,23,23,834.64,0.411,227.82,1,0.071,4,0,0,0,1,1,0,2001.75
89,2024-02-13,0,394,700-800,133,30,1431.3,0.122,39.08,0,0.0,3,1,79,0,0,0,0,5638.73
90,2025-02-21,0,343,600-650,181,30,1649.82,0.346,43.72,3,0.262,3,1,79,0,0,0,0,4929.54
91,2024-08-04,0,1366,700-800,53,24,1501.36,0.516,123.39,1,0.022,6,0,0,0,0,0,0,4243.45
92,2024-09-25,1,44,650-700,17,5,113.46,0.341,99.95,1,0.682,1,0,0,0,0,0,1,388.15
93,2025-05-07,0,1026,600-650,112,35,1298.69,0.302,221.93,3,0.088,1,0,0,0,0,1,1,2898.46
94,2024-06-05,0,453,650-700,22,20,1351.89,0.245,161.58,0,0.0,1,1,49,2,0,0,0,4535.87
95,2024-07-13,0,890,600-650,158,27,1229.18,0.294,0.0,2,0.067,5,1,79,0,0,1,0,3987.8
96,2024-09-02,1,50,650-700,29,3,150.41,0.075,56.93,0,0.0,1,0,0,0,0,0,0,653.83
97,2025-12-24,0,1010,800+,172,29,570.77,0.351,109.02,0,0.0,2,1,79,0,0,0,0,2768.58
98,2025-04-30,0,1303,600-650,10,23,1176.79,0.302,136.17,6,0.138,2,0,0,0,1,1,0,2090.22
99,2025-06-26,0,1088,650-700,141,20,1200.21,0.23,150.91,4,0.11,2,1,79,0,0,0,1,4012.89
100,2024-08-01,0,875,650-700,187,35,912.68,0.397,128.15,4,0.137,5,0,0,0,0,0,1,2558.62
101,2025-08-12,1,6,600-650,17,6,179.69,0.688,51.49,2,2.0,0,0,0,0,0,0,0,341.91
102,2024-05-20,0,882,700-800,139,31,1147.03,0.375,87.02,5,0.17,6,1,49,0,0,0,0,3998.89
103,2024-06-02,0,1071,600-650,143,38,1523.75,0.338,70.55,6,0.168,1,0,0,1,0,1,0,3836.86
104,2025-11-28,0,132,800+,167,37,563.32,0.34,138.47,3,0.682,6,1,79,1,0,1,0,2674.12
105,2024-09-18,1,6,700-800,15,1,126.7,0.233,123.27,3,3.0,0,0,0,0,0,0,0,280.17
106,2025-08-11,0,1176,650-700,136,28,844.03,0.234,169.49,4,0.102,0,0,0,0,1,0,1,1565.21
107,2024-04-15,0,983,600-650,47,27,1143.4,0.371,153.49,3,0.092,2,1,99,0,0,0,1,3722.84
108,2025-12-05,0,1052,600-650,49,24,1054.04,0.275,70.52,4,0.114,2,0,0,0,0,1,1,2561.96
109,2025-12-08,0,1174,600-650,195,26,1483.43,0.137,200.26,5,0.128,3,0,0,0,0,0,0,3345.05
110,2024-07-06,0,916,650-700,154,29,793.49,0.322,57.83,4,0.131,2,0,0,0,0,0,1,2137.07
111,2025-03-13,1,70,700-800,25,1,216.01,0.237,78.27,1,0.429,0,0,0,0,0,1,0,584.5
112,2025-01-21,1,64,600-650,1,2,257.38,0.337,78.24,0,0.0,0,0,0,0,0,0,0,516.68
113,2024-04-26,0,807,700-800,128,29,1080.85,0.203,205.59,3,0.112,2,0,0,0,0,0,0,2909.7
114,2025-10-23,1,59,650-700,7,3,113.72,0.383,108.57,2,1.017,1,0,0,0,0,0,0,255.4
115,2025-09-03,0,658,800+,29,30,1370.87,0.576,100.91,5,0.228,8,0,0,0,0,0,0,4282.42
116,2024-05-31,1,31,650-700,27,2,42.92,0.316,218.97,3,2.903,0,0,0,0,0,0,1,87.32
117,2025-12-04,1,70,650-700,15,2,204.35,0.424,104.5,1,0.429,0,0,0,0,0,1,0,631.35
118,2024-06-08,0,1134,700-800,64,23,1643.4,0.365,137.45,4,0.106,6,1,79,0,0,0,1,5701.4
119,2025-08-09,0,1226,650-700,154,33,1076.98,0.428,167.63,4,0.098,2,0,0,0,0,0,0,2610.06
120,2024-07-18,1,4,700-800,26,7,133.15,0.382,40.19,3,3.0,1,0,0,0,0,0,0,312.0
121,2025-11-20,0,239,650-700,174,31,1321.64,0.23,111.96,4,0.502,1,0,0,1,0,0,1,3475.8
122,2024-06-17,0,944,<600,114,22,0.0,0.385,120.07,5,0.159,3,0,0,0,0,0,1,26.15
123,2025-07-06,1,73,800+,6,5,158.33,0.17,65.08,4,1.644,0,0,0,0,0,0,0,503.85
124,2025-05-01,0,305,800+,99,27,1445.56,0.498,150.56,2,0.197,3,0,0,0,0,1,0,4490.4
125,2025-08-03,0,344,600-650,141,27,828.14,0.313,81.67,5,0.436,2,1,129,0,0,0,0,3127.76
126,2025-05-31,0,373,650-700,164,28,934.27,0.018,17.73,3,0.241,1,0,0,1,0,0,0,2809.56
127,2025-12-15,0,818,650-700,79,35,1558.97,0.19,46.93,2,0.073,3,0,0,1,0,0,0,4128.43
128,2025-10-23,0,347,<600,27,22,1531.88,0.212,180.29,4,0.346,3,1,49,0,0,0,0,3797.33
129,2025-01-06,0,809,650-700,90,21,848.13,0.235,170.48,5,0.185,5,1,49,1,0,0,0,2700.76
130,2024-09-11,0,1221,<600,187,30,847.56,0.281,94.52,5,0.123,2,1,49,1,0,1,0,2183.54
131,2024-06-24,1,33,650-700,14,1,184.91,0.305,180.17,0,0.0,2,1,49,0,0,0,0,958.44
132,2025-07-15,0,1491,650-700,63,26,1772.75,0.074,134.33,4,0.08,0,1,129,0,0,0,0,6170.46
133,2025-03-13,0,1252,800+,44,25,1587.75,0.45,248.33,0,0.0,5,0,0,1,0,0,0,4627.13
134,2024-12-04,0,1462,700-800,56,31,1166.93,0.288,69.46,6,0.123,5,0,0,0,0,0,1,3508.02
135,2025-05-31,1,33,600-650,11,1,106.82,0.245,197.37,1,0.909,2,0,0,0,0,0,0,41.12
136,2025-10-13,0,868,700-800,13,19,1019.56,0.237,95.21,3,0.104,3,0,0,0,0,0,1,2927.88
137,2025-07-05,1,15,800+,28,7,262.89,0.365,147.12,3,3.0,0,0,0,0,0,1,0,894.68
138,2024-10-17,0,1196,600-650,89,24,965.17,0.295,145.75,2,0.05,5,1,79,0,0,1,0,3083.67
139,2025-12-08,0,343,650-700,92,26,449.66,0.178,88.19,3,0.262,2,0,0,1,0,0,1,1211.53
140,2025-03-25,1,62,600-650,17,4,144.79,0.005,89.57,2,0.968,0,0,0,0,0,1,0,178.47
141,2025-11-18,0,816,600-650,8,18,1585.92,0.314,96.83,2,0.074,1,0,0,0,0,0,0,3912.57
142,2025-10-22,0,554,650-700,64,28,850.84,0.522,65.61,3,0.162,6,0,0,1,0,0,0,2477.33
143,2025-07-12,0,1021,<600,167,42,818.66,0.252,0.0,5,0.147,0,1,79,0,0,0,0,2314.86
144,2024-01-20,1,31,650-700,29,3,137.54,0.334,142.16,2,1.935,0,0,0,0,0,0,0,555.19
145,2025-04-24,0,100,600-650,5,28,978.61,0.297,69.06,5,1.5,3,0,0,0,0,0,0,2560.82
146,2024-02-25,1,1,<600,16,3,113.32,0.4,122.86,3,3.0,0,1,79,0,0,0,0,1009.15
147,2024-04-25,0,1300,650-700,26,24,648.9,0.381,128.69,1,0.023,4,1,49,0,0,0,0,2147.96
148,2025-09-24,0,313,600-650,61,23,1136.61,0.39,77.24,3,0.288,7,0,0,0,0,0,0,2615.28
149,2025-08-23,0,393,600-650,17,26,1249.03,0.242,242.37,1,0.076,4,0,0,0,0,0,0,3001.65
150,2024-04-18,1,40,800+,26,1,127.62,0.227,193.69,1,0.75,0,0,0,0,0,0,0,311.47
151,2024-11-01,0,849,650-700,9,20,852.85,0.139,33.42,0,0.0,3,1,79,1,0,0,0,3819.63
152,2025-07-11,1,30,650-700,17,3,204.33,0.263,50.78,1,1.0,0,0,0,0,0,0,0,611.12
153,2025-04-09,0,1173,<600,209,27,1400.41,0.277,242.45,2,0.051,4,0,0,0,0,0,1,2423.27
154,2025-04-01,0,1481,800+,67,28,1296.35,0.526,61.92,0,0.0,6,0,0,0,0,0,0,4135.74
155,2024-08-26,0,588,700-800,165,19,588.46,0.134,194.67,2,0.102,2,0,0,0,0,0,0,1564.81
156,2025-06-22,1,58,600-650,3,8,100.59,0.422,96.44,1,0.517,0,0,0,0,0,1,0,224.69
157,2024-03-24,0,1327,700-800,61,19,1597.65,0.356,163.83,1,0.023,2,0,0,0,0,0,0,4306.39
158,2025-09-08,0,987,700-800,51,28,674.55,0.27,63.73,4,0.122,2,0,0,2,0,0,0,2034.74
159,2025-05-09,0,997,650-700,29,34,861.62,0.281,155.9,1,0.03,3,1,79,0,0,1,1,3133.71
160,2025-03-16,0,1274,650-700,35,31,814.66,0.314,120.45,2,0.047,2,1,49,0,0,0,0,2842.89
161,2024-05-04,0,495,<600,190,26,1653.18,0.238,150.25,3,0.182,1,1,49,0,0,1,1,3765.91
162,2025-08-11,1,33,700-800,3,3,194.86,0.181,143.43,2,1.818,0,0,0,0,0,0,0,524.61
163,2025-12-07,1,44,<600,15,4,151.78,0.232,266.96,1,0.682,1,0,0,0,0,0,0,410.64
164,2025-07-20,0,1386,<600,10,32,1133.88,0.222,128.42,3,0.065,2,0,0,0,0,0,1,2282.22
165,2025-08-21,0,721,700-800,5,21,1010.9,0.124,33.41,2,0.083,2,1,99,1,0,0,0,4470.55
166,2024-05-29,0,1000,700-800,90,22,1030.8,0.128,226.0,2,0.06,5,1,49,0,0,0,1,3759.48
167,2024-09-18,0,956,800+,7,23,1216.45,0.233,94.14,2,0.063,2,1,129,1,0,0,0,5821.0
168,2025-05-16,0,1286,600-650,182,23,1373.6,0.232,174.31,1,0.023,4,0,0,0,0,0,0,3032.95
169,2024-06-07,0,1142,700-800,20,28,1372.34,0.205,0.0,3,0.079,3,1,99,0,0,0,0,6160.98
170,2025-09-01,1,54,600-650,13,4,145.12,0.353,122.64,2,1.111,1,0,0,0,0,0,0,291.25
171,2025-05-28,0,1115,600-650,142,21,1167.93,0.313,114.62,5,0.135,3,0,0,0,0,0,0,2689.02
172,2025-05-17,0,923,650-700,134,29,946.56,0.181,24.94,4,0.13,6,0,0,1,0,0,0,2411.94
173,2024-12-27,0,1215,650-700,47,24,1482.63,0.241,145.61,1,0.025,2,1,129,0,0,0,1,5399.52
174,2024-02-08,0,864,650-700,175,23,1386.5,0.214,184.72,2,0.069,2,1,79,0,0,0,0,4448.25
175,2024-02-01,0,903,800+,169,25,654.58,0.405,154.75,3,0.1,3,0,0,0,0,0,0,1925.48
176,2024-01-06,0,713,650-700,161,22,914.14,0.234,137.59,2,0.084,3,0,0,0,0,1,0,2528.64
177,2025-08-28,1,19,650-700,26,3,168.75,0.249,203.0,2,2.0,2,1,49,0,0,0,0,959.13
178,2024-02-23,1,18,650-700,8,3,196.82,0.238,205.1,0,0.0,0,0,0,0,0,0,0,357.76
179,2025-02-11,0,722,600-650,78,25,861.96,0.575,154.08,3,0.125,2,1,99,0,0,0,0,2692.36
180,2025-02-20,0,1087,700-800,198,26,684.47,0.311,166.7,0,0.0,2,0,0,1,0,0,0,1697.91
181,2024-03-14,1,14,600-650,4,2,161.8,0.265,158.73,1,1.0,0,0,0,0,0,0,0,601.76
182,2024-06-11,1,4,650-700,22,3,84.11,0.207,173.94,0,0.0,1,0,0,0,0,0,0,33.04
183,2024-03-01,1,2,<600,5,2,158.62,0.305,160.14,2,2.0,0,0,0,0,0,1,0,494.61
184,2025-01-25,0,1265,700-800,126,16,1047.02,0.333,144.99,1,0.024,4,0,0,1,0,0,0,2915.35
185,2025-08-10,1,18,650-700,25,3,210.24,0.248,109.24,1,1.0,0,0,0,0,0,1,0,595.14
186,2025-05-09,0,1090,700-800,188,15,1670.25,0.194,126.62,2,0.055,5,0,0,0,0,0,0,4451.4
187,2024-11-10,0,796,600-650,48,30,1451.23,0.216,110.97,5,0.188,1,0,0,0,0,1,0,3465.53
188,2024-02-14,0,374,650-700,27,36,589.49,0.261,151.58,2,0.16,3,1,49,0,0,0,0,2197.48
189,2025-04-14,0,515,700-800,200,20,698.62,0.345,188.99,0,0.0,7,0,0,0,0,0,0,1715.8
190,2025-12-01,0,581,700-800,205,35,1434.07,0.229,80.27,3,0.155,3,1,99,0,0,1,1,5669.98
191,2024-11-21,0,1197,600-650,117,31,815.1,0.0,113.55,3,0.075,5,0,0,1,0,0,0,2044.0
192,2025-04-18,0,1276,<600,197,21,950.91,0.095,142.93,3,0.071,4,1,49,0,0,0,1,2242.82
193,2024-06-21,0,985,700-800,16,27,1256.08,0.272,190.34,5,0.152,1,0,0,0,0,0,0,3862.97
194,2024-01-06,0,687,800+,112,19,1178.14,0.335,229.54,4,0.175,1,0,0,1,0,0,0,3312.79
195,2024-04-04,0,108,650-700,118,18,305.67,0.214,203.61,2,0.556,6,0,0,1,0,0,0,851.86
196,2024-09-11,0,1285,700-800,168,32,863.04,0.298,21.51,1,0.023,2,0,0,0,0,0,0,2492.39
197,2024-12-09,0,892,700-800,84,20,1260.4,0.308,196.3,1,0.034,4,0,0,0,0,0,0,3528.9
198,2025-04-11,0,651,800+,153,25,1105.38,0.158,120.79,3,0.138,3,1,79,0,0,0,0,4497.61
199,2025-05-15,1,77,650-700,2,2,155.76,0.453,22.18,0,0.0,1,0,0,0,0,0,0,321.89
200,2024-02-17,0,1490,<600,103,32,1300.23,0.17,102.66,2,0.04,5,0,0,1,0,0,0,2704.29
201,2025-03-31,1,28,<600,15,3,99.18,0.371,86.77,1,1.0,0,0,0,0,0,0,0,278.88
202,2024-09-14,0,641,800+,14,17,1087.11,0.264,114.76,4,0.187,3,0,0,0,0,0,0,3394.41
203,2024-07-25,0,625,600-650,91,24,532.92,0.473,75.69,0,0.0,4,0,0,1,0,0,1,1319.61
204,2025-10-08,0,1476,700-800,119,32,628.15,0.35,150.5,0,0.0,5,1,99,1,0,0,0,2856.91
205,2025-02-02,0,1414,700-800,7,28,739.53,0.294,54.92,1,0.021,4,1,49,0,0,0,1,2937.32
206,2024-10-02,0,632,800+,60,25,1157.62,0.31,10.72,5,0.237,2,1,79,0,0,0,0,4979.72
207,2024-09-23,1,8,650-700,20,4,196.34,0.238,128.38,2,2.0,1,0,0,0,0,0,1,640.38
208,2025-06-19,1,18,600-650,8,6,183.46,0.172,150.0,3,3.0,0,0,0,0,0,0,0,492.54
209,2024-10-07,1,58,800+,25,1,186.73,0.525,104.57,0,0.0,1,0,0,0,0,0,0,569.07
210,2024-05-07,0,335,700-800,21,26,628.86,0.22,142.02,3,0.269,4,1,99,0,1,0,0,2461.73
211,2025-08-31,0,618,800+,49,25,1056.13,0.166,138.67,3,0.146,5,0,0,0,0,0,1,3399.53
212,2024-01-17,0,1198,700-800,101,16,1317.99,0.421,11.25,6,0.15,6,0,0,0,0,1,0,3703.81
213,2024-05-26,0,498,700-800,109,27,853.14,0.25,157.11,2,0.12,2,1,79,0,0,0,0,3235.15
214,2025-04-24,0,200,650-700,193,38,1287.32,0.148,145.26,3,0.45,3,1,129,0,0,0,0,4832.15
215,2025-10-07,1,44,<600,7,4,142.71,0.303,139.57,2,1.364,0,0,0,0,0,0,0,286.53
216,2024-09-25,0,1192,700-800,172,21,1708.22,0.375,101.89,5,0.126,1,1,79,0,0,0,0,5871.69
217,2024-02-27,1,59,650-700,26,3,183.73,0.237,49.07,1,0.508,0,0,0,0,0,0,0,671.48
218,2024-02-04,1,10,<600,22,6,178.69,0.374,89.85,4,4.0,1,0,0,0,0,1,0,443.82
219,2024-11-20,0,1270,700-800,48,30,1085.83,0.419,253.12,5,0.118,2,1,79,0,1,1,0,3219.88
220,2025-06-08,1,62,800+,8,5,234.1,0.521,187.99,1,0.484,0,0,0,0,0,0,0,804.35
221,2025-09-04,1,3,700-800,17,3,209.86,0.184,173.47,1,1.0,0,0,0,0,0,1,0,556.38
222,2024-12-24,0,965,600-650,129,29,1487.18,0.268,50.38,3,0.093,6,1,49,0,1,1,0,3275.72
223,2025-06-08,0,1171,650-700,158,23,1399.8,0.183,150.57,2,0.051,2,1,49,0,0,0,0,4137.22
224,2025-05-03,0,1425,650-700,28,25,762.65,0.106,56.55,9,0.189,5,0,0,0,0,0,0,1850.04
225,2025-05-16,0,553,650-700,16,28,750.27,0.313,169.38,3,0.163,5,0,0,0,0,1,0,2071.86
226,2024-01-25,0,815,700-800,178,25,1690.75,0.309,116.55,2,0.074,6,0,0,0,1,0,0,3581.56
227,2025-09-23,0,378,700-800,79,25,1821.57,0.395,93.67,1,0.079,5,1,99,0,0,0,0,6417.21
228,2025-12-28,0,409,600-650,179,28,828.97,0.325,36.03,1,0.073,2,1,49,0,1,0,0,2182.26
229,2025-11-29,1,23,650-700,4,2,121.41,0.3,97.18,1,1.0,0,0,0,0,0,0,0,379.3
230,2025-01-13,1,86,650-700,8,5,145.6,0.373,142.87,2,0.698,0,1,49,0,0,0,0,739.9
231,2024-09-20,0,588,600-650,169,27,1567.7,0.394,90.4,1,0.051,3,1,99,1,0,0,0,4782.42
232,2025-06-21,0,1350,700-800,79,24,784.67,0.411,126.06,0,0.0,3,1,79,0,0,0,0,3246.58
233,2024-10-21,1,35,700-800,12,4,261.07,0.487,109.04,0,0.0,1,0,0,0,0,0,0,913.89
234,2024-12-20,1,71,700-800,21,2,250.98,0.365,124.98,1,0.423,1,0,0,0,0,0,0,612.07
235,2025-04-13,0,826,800+,105,28,1054.0,0.132,145.36,2,0.073,5,1,79,0,0,0,0,4186.14
236,2025-10-09,0,935,800+,190,22,1254.35,0.327,75.68,5,0.16,3,1,49,0,0,0,1,4689.77
