customer_id,ref_date,is_new,days_relationship,score_band,recency_days,freq_90d,monetary_90d,weekend_ratio,spend_std_90d,app_interactions_30d,engagement_rate,multimodal_90d,plan_active,plan_price,reactivations_12m,inadimplencia,p_churn_90d,p_convert_30d,ltv_12m_hat,segmento_kmeans,nba_decision,decision_reason
106,2025-08-11,0,1176,650-700,136,28,844.03,0.234,169.49,4,0.102,0,0,0,0,1,0.28270711185490904,0.20862284143886198,2197.6470526558933,4,NENHUMA,Inelegível por risco (inadimplência/score)
108,2025-12-05,0,1052,600-650,49,24,1054.04,0.275,70.52,4,0.114,2,0,0,0,0,0.23808012249639027,0.10712101651053195,2411.2159077611477,0,NENHUMA,Baixa propensão; evitar contato
109,2025-12-08,0,1174,600-650,195,26,1483.43,0.137,200.26,5,0.128,3,0,0,0,0,0.20745482294494508,0.23207157055572192,3456.918048026433,4,NENHUMA,Baixa propensão; evitar contato
114,2025-10-23,1,59,650-700,7,3,113.72,0.383,108.57,2,1.017,1,0,0,0,0,0.17758413028286618,0.11932992339986725,279.9586170724167,3,NENHUMA,Baixa propensão; evitar contato
115,2025-09-03,0,658,800+,29,30,1370.87,0.576,100.91,5,0.228,8,0,0,0,0,0.11075236841961218,0.2607398415244772,4134.040903814133,0,CASHBACK_LEVE,Ação leve (propensão moderada)
117,2025-12-04,1,70,650-700,15,2,204.35,0.424,104.5,1,0.429,0,0,0,0,0,0.1910107657954892,0.06101278156448565,578.8691750868502,3,NENHUMA,Baixa propensão; evitar contato
119,2025-08-09,0,1226,650-700,154,33,1076.98,0.428,167.63,4,0.098,2,0,0,0,0,0.24615596980876842,0.24217249506589694,2742.868335494599,4,NENHUMA,Baixa propensão; evitar contato
121,2025-11-20,0,239,650-700,174,31,1321.64,0.23,111.96,4,0.502,1,0,0,1,0,0.20682727838898968,0.2666976714677264,3482.9148092234223,4,CASHBACK_LEVE,Ação leve (propensão moderada)
123,2025-07-06,1,73,800+,6,5,158.33,0.17,65.08,4,1.644,0,0,0,0,0,0.0960375626740213,0.1533804200807999,483.881350634001,2,NENHUMA,Baixa propensão; evitar contato
125,2025-08-03,0,344,600-650,141,27,828.14,0.313,81.67,5,0.436,2,1,129,0,0,0.23597653985078573,0.1217535279370428,2769.006880349143,4,NENHUMA,Baixa propensão; evitar contato
127,2025-12-15,0,818,650-700,79,35,1558.97,0.19,46.93,2,0.073,3,0,0,1,0,0.18614671047693868,0.2736708276109654,4033.9540778508676,0,CASHBACK_LEVE,Ação leve (propensão moderada)
128,2025-10-23,0,347,<600,27,22,1531.88,0.212,180.29,4,0.346,3,1,49,0,0,0.3126280109875269,0.1696681547951174,3949.6312655717675,0,NENHUMA,Inelegível por risco (inadimplência/score)
132,2025-07-15,0,1491,650-700,63,26,1772.75,0.074,134.33,4,0.08,0,1,129,0,0,0.14362484648979335,0.18989784133235502,5813.362150517665,0,NENHUMA,Baixa propensão; evitar contato
136,2025-10-13,0,868,700-800,13,19,1019.56,0.237,95.21,3,0.104,3,0,0,0,0,0.18541110644038078,0.21576456237853783,3007.8370001106596,0,NENHUMA,Baixa propensão; evitar contato
137,2025-07-05,1,15,800+,28,7,262.89,0.365,147.12,3,3.0,0,0,0,0,0,0.13453214235501879,0.19680080816295598,809.4871327716172,2,NENHUMA,Baixa propensão; evitar contato
139,2025-12-08,0,343,650-700,92,26,449.66,0.178,88.19,3,0.262,2,0,0,1,0,0.17021160789989728,0.2174771158956872,1177.6450341979616,0,NENHUMA,Baixa propensão; evitar contato
141,2025-11-18,0,816,600-650,8,18,1585.92,0.314,96.83,2,0.074,1,0,0,0,0,0.3064065106732209,0.22989385059775413,3680.4921690211672,0,NENHUMA,Baixa propensão; evitar contato
142,2025-10-22,0,554,650-700,64,28,850.84,0.522,65.61,3,0.162,6,0,0,1,0,0.19751756880705845,0.19768354928580045,2307.230122615896,0,NENHUMA,Baixa propensão; evitar contato
143,2025-07-12,0,1021,<600,167,42,818.66,0.252,0.0,5,0.147,0,1,79,0,0,0.293357220795096,0.18675977319990184,2313.9271731461963,4,NENHUMA,Inelegível por risco (inadimplência/score)
148,2025-09-24,0,313,600-650,61,23,1136.61,0.39,77.24,3,0.288,7,0,0,0,0,0.21989578744257113,0.2029621819420942,2646.8256947046843,0,NENHUMA,Baixa propensão; evitar contato
149,2025-08-23,0,393,600-650,17,26,1249.03,0.242,242.37,1,0.076,4,0,0,0,0,0.23569836993001392,0.2014836141362032,2986.4920609105825,0,NENHUMA,Baixa propensão; evitar contato
152,2025-07-11,1,30,650-700,17,3,204.33,0.263,50.78,1,1.0,0,0,0,0,0,0.2423692946607898,0.07300722804819285,613.4800243865626,3,NENHUMA,Baixa propensão; evitar contato
158,2025-09-08,0,987,700-800,51,28,674.55,0.27,63.73,4,0.122,2,0,0,2,0,0.2509072084606397,0.12989078235941054,1875.2789216008864,0,NENHUMA,Baixa propensão; evitar contato
162,2025-08-11,1,33,700-800,3,3,194.86,0.181,143.43,2,1.818,0,0,0,0,0,0.1254443428480173,0.09345698418740793,556.1970513570649,2,NENHUMA,Baixa propensão; evitar contato
163,2025-12-07,1,44,<600,15,4,151.78,0.232,266.96,1,0.682,1,0,0,0,0,0.43102186080068805,0.1250120700865096,311.4398169025047,1,NENHUMA,Inelegível por risco (inadimplência/score)
164,2025-07-20,0,1386,<600,10,32,1133.88,0.222,128.42,3,0.065,2,0,0,0,0,0.4121886025669525,0.24216590898922524,2221.579406235713,0,NENHUMA,Inelegível por risco (inadimplência/score)
165,2025-08-21,0,721,700-800,5,21,1010.9,0.124,33.41,2,0.083,2,1,99,1,0,0.1019168354527676,0.17585109468698382,4348.008405823732,0,NENHUMA,Baixa propensão; evitar contato
170,2025-09-01,1,54,600-650,13,4,145.12,0.353,122.64,2,1.111,1,0,0,0,0,0.26618771623325577,0.0852924825236844,394.9127429819492,3,NENHUMA,Baixa propensão; evitar contato
177,2025-08-28,1,19,650-700,26,3,168.75,0.249,203.0,2,2.0,2,1,49,0,0,0.21843982725614375,0.12655460053700063,1025.941648730737,2,NENHUMA,Baixa propensão; evitar contato
185,2025-08-10,1,18,650-700,25,3,210.24,0.248,109.24,1,1.0,0,0,0,0,0,0.2154098392001993,0.07286636607419544,567.535686065741,3,NENHUMA,Baixa propensão; evitar contato
190,2025-12-01,0,581,700-800,205,35,1434.07,0.229,80.27,3,0.155,3,1,99,0,0,0.13663391714022938,0.18858958572310772,5535.21186881348,4,NENHUMA,Baixa propensão; evitar contato
204,2025-10-08,0,1476,700-800,119,32,628.15,0.35,150.5,0,0.0,5,1,99,1,0,0.132794546296252,0.16734618311885235,2614.848868330533,0,NENHUMA,Baixa propensão; evitar contato
211,2025-08-31,0,618,800+,49,25,1056.13,0.166,138.67,3,0.146,5,0,0,0,0,0.10037803107611616,0.15734459036055243,3184.563994726397,0,NENHUMA,Baixa propensão; evitar contato
215,2025-10-07,1,44,<600,7,4,142.71,0.303,139.57,2,1.364,0,0,0,0,0,0.35427021333350245,0.0958047385848786,315.71000145993986,2,NENHUMA,Inelegível por risco (inadimplência/score)
221,2025-09-04,1,3,700-800,17,3,209.86,0.184,173.47,1,1.0,0,0,0,0,0,0.13099475133241673,0.07376745405766902,586.8794045244699,1,NENHUMA,Baixa propensão; evitar contato
227,2025-09-23,0,378,700-800,79,25,1821.57,0.395,93.67,1,0.079,5,1,99,0,0,0.12951824519277225,0.1649446629731461,6306.25453229937,0,NENHUMA,Baixa propensão; evitar contato
228,2025-12-28,0,409,600-650,179,28,828.97,0.325,36.03,1,0.073,2,1,49,0,1,0.315151369887905,0.11521085521015413,2563.8810086779586,4,NENHUMA,Inelegível por risco (inadimplência/score)
229,2025-11-29,1,23,650-700,4,2,121.41,0.3,97.18,1,1.0,0,0,0,0,0,0.19723974496932195,0.09693527540935916,301.2507365189789,3,NENHUMA,Baixa propensão; evitar contato
236,2025-10-09,0,935,800+,190,22,1254.35,0.327,75.68,5,0.16,3,1,49,0,0,0.07185334670874557,0.14183174644156485,4702.199552846055,4,NENHUMA,Baixa propensão; evitar contato
243,2025-10-31,0,945,650-700,173,22,248.97,0.429,155.78,4,0.127,5,1,79,0,0,0.17025418866748868,0.1474787286671857,1405.1401834942972,4,NENHUMA,Baixa propensão; evitar contato
246,2025-10-15,0,711,700-800,141,27,502.69,0.222,150.6,4,0.169,2,1,79,0,0,0.0770720482559366,0.115527258980545,1918.0821194211906,0,NENHUMA,Baixa propensão; evitar contato
248,2025-10-30,0,814,650-700,142,18,1378.37,0.216,224.56,4,0.147,1,1,99,0,0,0.13989809399134726,0.19256386544859747,4819.403505125246,4,NENHUMA,Baixa propensão; evitar contato
261,2025-09-11,0,1296,650-700,6,27,1528.35,0.189,178.25,5,0.116,7,0,0,0,0,0.22986551475096817,0.2431346377967372,3910.222169377925,0,NENHUMA,Baixa propensão; evitar contato
270,2025-08-03,1,87,700-800,8,4,163.55,0.325,78.67,3,1.034,1,0,0,0,0,0.08972057989741468,0.17849961112652707,508.81157767968324,3,NENHUMA,Baixa propensão; evitar contato
271,2025-10-25,0,578,650-700,22,30,992.28,0.185,144.78,2,0.104,3,1,99,0,0,0.16836387002802278,0.16701078595069382,3853.9758229143376,0,NENHUMA,Baixa propensão; evitar contato
278,2025-07-30,0,1266,800+,115,31,567.07,0.181,198.66,2,0.047,2,0,0,1,0,0.1611497922231239,0.21846439437075932,1670.1312610552172,0,NENHUMA,Baixa propensão; evitar contato
279,2025-07-28,1,20,650-700,27,2,197.01,0.307,115.55,2,2.0,0,0,0,0,0,0.2188421730783489,0.1026903568176543,530.1994964123423,2,NENHUMA,Baixa propensão; evitar contato
280,2025-09-28,1,84,600-650,13,5,187.27,0.152,182.5,2,0.714,0,0,0,0,0,0.31224330300712816,0.10582742354668959,507.8820477143853,1,NENHUMA,Baixa propensão; evitar contato
281,2025-08-05,0,1324,650-700,179,25,1909.65,0.4,110.68,0,0.0,6,1,99,1,0,0.15186364440032923,0.1595727124393884,5998.725249201805,4,NENHUMA,Baixa propensão; evitar contato
282,2025-08-27,0,1233,600-650,98,24,1810.69,0.299,89.24,6,0.146,1,0,0,0,0,0.3382605380856652,0.17645305555717714,4130.951007851474,4,NENHUMA,Baixa propensão; evitar contato
284,2025-11-23,0,173,600-650,126,24,1834.9,0.547,251.84,0,0.0,2,0,0,0,1,0.34980611392094946,0.17039478789606016,4227.090111861171,4,NENHUMA,Inelegível por risco (inadimplência/score)
285,2025-10-23,1,12,<600,18,5,200.01,0.294,91.29,0,0.0,1,0,0,0,0,0.4442136606836682,0.06438470980181327,379.58896219081385,3,NENHUMA,Inelegível por risco (inadimplência/score)
287,2025-09-21,0,1360,700-800,93,22,342.76,0.134,76.68,2,0.044,1,1,49,0,0,0.12584461230829996,0.16277712369724293,1681.2550362710172,0,NENHUMA,Baixa propensão; evitar contato
289,2025-07-14,0,1276,650-700,174,28,1142.26,0.259,119.83,3,0.071,1,1,79,0,0,0.16206071584318316,0.12003445544249765,3901.797022442592,4,NENHUMA,Baixa propensão; evitar contato
290,2025-07-03,1,6,600-650,6,5,199.92,0.235,157.25,1,1.0,0,0,0,0,0,0.20453959397707694,0.0450263051053092,525.9216447385535,1,NENHUMA,Baixa propensão; evitar contato
293,2025-11-20,1,45,<600,24,2,105.19,0.5,94.63,2,1.333,0,0,0,0,0,0.3826177158185817,0.1363462606913303,284.27493179521633,3,NENHUMA,Inelegível por risco (inadimplência/score)
296,2025-11-05,1,3,700-800,7,2,182.47,0.281,148.71,0,0.0,0,0,0,0,0,0.16897738811447133,0.10817229688178133,540.4687693172893,1,NENHUMA,Baixa propensão; evitar contato
298,2025-12-11,1,85,800+,23,2,78.6,0.416,188.58,0,0.0,0,0,0,0,0,0.20895783441925195,0.15856393931020327,239.89075162627987,3,NENHUMA,Baixa propensão; evitar contato
299,2025-08-16,1,20,800+,26,3,27.1,0.237,103.8,2,2.0,1,0,0,0,0,0.07873930523446722,0.21553761638678406,69.29122677686108,2,NENHUMA,Baixa propensão; evitar contato
303,2025-10-03,1,6,700-800,21,4,156.4,0.167,220.28,1,1.0,1,0,0,0,0,0.11773331129498553,0.07364781144647714,379.73024206385793,1,NENHUMA,Baixa propensão; evitar contato
307,2025-08-26,0,353,600-650,168,34,997.43,0.635,236.94,1,0.085,3,0,0,0,0,0.2845730356469424,0.25566684386029004,2165.7103218348293,4,CASHBACK_LEVE,Ação leve (propensão moderada)
308,2025-08-02,0,783,<600,120,17,1084.06,0.371,126.64,4,0.153,3,0,0,1,0,0.32275144812578105,0.16562074697374235,2174.718901295057,4,NENHUMA,Inelegível por risco (inadimplência/score)
309,2025-11-13,0,479,700-800,153,23,1573.7,0.129,219.2,3,0.188,2,0,0,1,0,0.19845453505950592,0.2477728296610397,4282.851091353716,0,NENHUMA,Baixa propensão; evitar contato
311,2025-11-21,0,1145,700-800,107,29,1162.38,0.324,186.58,3,0.079,1,0,0,0,0,0.17349402267328973,0.20455912534554585,3229.377743301361,4,NENHUMA,Baixa propensão; evitar contato
312,2025-07-19,0,1055,700-800,14,22,1617.43,0.327,57.18,3,0.085,2,1,99,0,0,0.07330260872088522,0.17698678026102277,5846.490373265937,0,NENHUMA,Baixa propensão; evitar contato
313,2025-08-04,0,171,600-650,193,21,1452.29,0.4,27.44,2,0.351,4,1,79,0,0,0.18811396518346613,0.13738430093589207,4495.3288898685205,4,NENHUMA,Baixa propensão; evitar contato
317,2025-08-13,1,2,800+,10,3,149.31,0.338,120.78,1,1.0,0,0,0,0,0,0.12046837419165217,0.09199674486248215,407.3322291582206,3,NENHUMA,Baixa propensão; evitar contato
318,2025-07-28,0,237,<600,159,17,1010.69,0.225,138.87,3,0.38,2,1,99,0,1,0.2985645999025988,0.11828681494826984,2793.8901723740732,4,NENHUMA,Inelegível por risco (inadimplência/score)
323,2025-11-22,0,95,650-700,160,25,1102.04,0.327,222.9,2,0.632,3,0,0,0,0,0.19264864639967144,0.1886263511773092,2850.0028033950534,4,NENHUMA,Baixa propensão; evitar contato
324,2025-12-19,1,72,650-700,21,5,227.4,0.287,138.92,1,0.417,1,0,0,0,0,0.14981142187529908,0.09595679430411491,605.042486048291,3,NENHUMA,Baixa propensão; evitar contato
326,2025-11-09,0,1026,<600,152,26,1078.05,0.411,103.56,5,0.146,2,1,49,2,0,0.3546037675273165,0.11926883746450834,2841.9956807230174,4,NENHUMA,Inelegível por risco (inadimplência/score)
332,2025-11-22,0,758,700-800,144,27,1677.08,0.362,23.64,0,0.0,2,0,0,0,0,0.22412264745948918,0.11617680422994905,4618.846500862159,4,NENHUMA,Baixa propensão; evitar contato
333,2025-10-11,1,71,800+,21,1,227.59,0.352,157.04,2,0.845,0,0,0,0,0,0.13497843085131175,0.12062300498388141,666.7312871235866,3,NENHUMA,Baixa propensão; evitar contato
338,2025-12-14,0,221,600-650,79,20,1031.09,0.237,89.97,4,0.543,6,0,0,0,0,0.2355544290587953,0.13266084814586784,2324.4156691070298,0,NENHUMA,Baixa propensão; evitar contato
339,2025-12-01,0,167,700-800,125,32,659.82,0.402,139.25,2,0.359,4,0,0,1,0,0.16393537780840964,0.29446983564533624,1781.7789233972333,4,CASHBACK_LEVE,Ação leve (propensão moderada)
343,2025-12-05,0,1190,600-650,104,24,1241.32,0.323,76.56,5,0.126,4,0,0,0,0,0.23473284256563826,0.19616956657228296,2908.039211158943,0,NENHUMA,Baixa propensão; evitar contato
344,2025-09-28,0,1129,700-800,189,26,1164.97,0.21,66.58,6,0.159,4,0,0,0,0,0.16904264287926055,0.28001587845298076,3271.0063940166647,4,CASHBACK_LEVE,Ação leve (propensão moderada)
345,2025-12-20,0,403,700-800,171,23,1491.81,0.38,120.7,1,0.074,2,0,0,0,0,0.18778590831058053,0.1732244851126582,4188.229964039211,4,NENHUMA,Baixa propensão; evitar contato
352,2025-07-18,0,1197,600-650,72,23,1367.7,0.116,95.3,2,0.05,3,0,0,1,0,0.21911493193896178,0.220794175890435,3166.2073881744345,0,NENHUMA,Baixa propensão; evitar contato
354,2025-08-17,0,633,700-800,2,30,534.55,0.467,69.98,4,0.19,2,1,49,1,0,0.15405886974749533,0.17855976365221884,2288.8673934791955,0,NENHUMA,Baixa propensão; evitar contato
362,2025-10-21,0,536,650-700,60,34,1573.93,0.316,236.99,0,0.0,3,1,99,0,0,0.19940583367186532,0.20265968903042236,5233.282673415535,0,NENHUMA,Baixa propensão; evitar contato
364,2025-11-15,0,1480,600-650,172,24,290.01,0.525,191.83,3,0.061,2,1,79,0,0,0.2347932335153776,0.14366177854995232,1407.635141286505,4,NENHUMA,Baixa propensão; evitar contato
374,2025-07-07,1,23,600-650,8,2,48.5,0.321,166.05,1,1.0,0,0,0,0,0,0.23453979473376668,0.1094054917815452,79.72607169926653,3,NENHUMA,Baixa propensão; evitar contato
377,2025-07-16,0,1275,600-650,72,24,706.6,0.286,181.49,4,0.094,2,1,99,0,0,0.18385045189346097,0.16616878127763557,2556.866163827027,0,NENHUMA,Baixa propensão; evitar contato
379,2025-10-27,0,954,600-650,175,31,819.87,0.366,0.0,6,0.189,4,0,0,0,0,0.2179993887188337,0.29086965929367625,1975.4929643190715,4,CASHBACK_LEVE,Ação leve (propensão moderada)
380,2025-09-17,1,89,650-700,19,3,130.62,0.382,143.98,0,0.0,0,0,0,0,0,0.1289317367573962,0.1224522184844632,404.56252690050053,3,NENHUMA,Baixa propensão; evitar contato
383,2025-07-17,0,1155,650-700,72,31,1407.23,0.397,175.59,2,0.052,3,0,0,0,0,0.2751275548819801,0.2131665836218238,3710.8279953144374,0,NENHUMA,Baixa propensão; evitar contato
391,2025-09-19,0,622,800+,119,26,820.15,0.425,136.8,3,0.145,3,1,129,0,0,0.11492931980813097,0.15496785345868389,3537.1532200224333,4,NENHUMA,Baixa propensão; evitar contato
393,2025-09-02,0,737,700-800,72,25,1022.0,0.624,137.86,0,0.0,2,1,99,1,0,0.135329803495601,0.12351632513466831,4235.240342543086,4,NENHUMA,Baixa propensão; evitar contato
396,2025-10-15,0,1142,700-800,127,31,917.55,0.258,77.13,3,0.079,2,1,79,0,0,0.14150168493555648,0.18174796459679113,3666.3773224711085,4,NENHUMA,Baixa propensão; evitar contato
398,2025-10-18,0,245,800+,111,22,807.75,0.39,219.7,2,0.245,6,0,0,1,0,0.19195887462219266,0.2523025450101327,2251.5336299194473,0,CASHBACK_LEVE,Ação leve (propensão moderada)
400,2025-08-21,0,913,800+,50,27,1689.36,0.224,87.95,4,0.131,3,1,129,0,0,0.07172893319313295,0.18237427154596553,6009.633901562148,0,NENHUMA,Baixa propensão; evitar contato
402,2025-08-02,1,83,<600,22,1,124.6,0.185,105.7,1,0.361,0,0,0,0,0,0.3573506938766668,0.09713861286174119,285.9580892173217,1,NENHUMA,Inelegível por risco (inadimplência/score)
403,2025-09-04,0,914,<600,66,32,1161.52,0.338,101.93,2,0.066,0,0,0,1,0,0.39245009341012244,0.24343102266496652,2288.616258058062,4,NENHUMA,Inelegível por risco (inadimplência/score)
404,2025-10-17,0,877,700-800,56,25,1212.82,0.349,0.0,4,0.137,3,1,99,1,0,0.07257986801200991,0.15437114294659712,4942.593643347103,0,NENHUMA,Baixa propensão; evitar contato
405,2025-07-01,0,218,700-800,187,25,2182.27,0.365,166.13,2,0.275,2,1,79,1,0,0.1835669528550665,0.1861249403132227,6695.921325020913,4,NENHUMA,Baixa propensão; evitar contato
414,2025-12-11,0,664,700-800,141,26,1209.77,0.327,94.55,3,0.136,8,0,0,1,0,0.19235771286836797,0.20302515756391712,3301.876905370113,0,NENHUMA,Baixa propensão; evitar contato
419,2025-09-30,0,1095,700-800,65,24,1101.03,0.397,166.93,5,0.137,3,0,0,0,0,0.21937283871501284,0.17325567350438842,3110.971176707246,0,NENHUMA,Baixa propensão; evitar contato
420,2025-11-15,0,1123,800+,96,31,1653.97,0.038,69.08,3,0.08,1,0,0,0,0,0.11382583084722302,0.19523440049023763,4910.588699136042,0,NENHUMA,Baixa propensão; evitar contato
427,2025-12-09,0,1223,700-800,208,27,1312.4,0.276,207.25,1,0.025,1,1,79,0,0,0.1588298145930468,0.2006451652041292,4807.697453882285,4,NENHUMA,Baixa propensão; evitar contato
428,2025-09-26,0,1041,650-700,178,23,1632.92,0.224,146.3,2,0.058,1,1,79,1,0,0.15834457395463836,0.19920271230690792,5228.4376485076755,4,NENHUMA,Baixa propensão; evitar contato
432,2025-12-14,0,505,<600,14,27,800.18,0.315,85.42,2,0.119,0,0,0,0,0,0.32880608484804486,0.18318767724713145,1572.5216949871071,0,NENHUMA,Inelegível por risco (inadimplência/score)
444,2025-10-19,1,73,650-700,28,2,167.35,0.084,113.38,2,0.822,3,0,0,0,0,0.1407721684542684,0.14686399898147073,444.8714104078627,1,NENHUMA,Baixa propensão; evitar contato
446,2025-10-02,0,1159,650-700,84,36,1657.55,0.525,107.53,3,0.078,5,0,0,0,0,0.17069428812394064,0.318442044603043,4305.85714513523,4,CASHBACK_LEVE,Ação leve (propensão moderada)
449,2025-07-31,0,1209,650-700,177,26,845.49,0.4,69.7,1,0.025,2,0,0,0,0,0.21708589047161983,0.16779411529374935,2225.2472678059844,4,NENHUMA,Baixa propensão; evitar contato
452,2025-09-26,0,769,650-700,42,23,932.45,0.473,136.44,3,0.117,5,1,49,1,0,0.20312322379861222,0.16508905244242902,3189.6439715567603,0,NENHUMA,Baixa propensão; evitar contato
461,2025-08-04,0,502,650-700,172,25,1457.31,0.472,63.51,3,0.179,9,1,129,0,0,0.14674781908734313,0.14040360239796093,5145.6186918482435,4,NENHUMA,Baixa propensão; evitar contato
464,2025-08-23,0,267,600-650,160,27,1590.53,0.315,198.66,2,0.225,3,1,79,0,0,0.16022339917604914,0.1619052730948082,4625.313166800919,4,NENHUMA,Baixa propensão; evitar contato
465,2025-12-16,1,14,700-800,10,1,246.33,0.495,54.54,3,3.0,0,0,0,0,0,0.10985760786896363,0.13049219896512754,733.3608256110349,2,NENHUMA,Baixa propensão; evitar contato
466,2025-09-22,0,776,600-650,175,30,1619.03,0.427,187.02,0,0.0,1,1,79,0,0,0.21353179197993838,0.14633925890490956,4639.624395448028,4,NENHUMA,Baixa propensão; evitar contato
480,2025-09-22,0,1195,800+,147,18,1981.87,0.0,0.0,3,0.075,4,1,99,0,0,0.16165114370095154,0.17964937326174538,6601.246147452741,0,NENHUMA,Baixa propensão; evitar contato
